product_id,price,price_usd,currency,when_created,source,title,heading,url,in_stock,image
1,0,0,,2014-04-02 15:25:10.334502,Page unavailable [404],,Page unavailable [404],http://www.amazon.co.uk/dp/B007ZN5ATQ,False,
2,0,0,,2014-04-02 15:25:10.595389,Page unavailable [404],,Page unavailable [404],http://www.amazon.co.uk/dp/B00DR0PDNE,False,
1,49.95,0,,2014-04-02 15:25:11.045857,walmart.com,,Philips Sonicare HX5610/01 Essence E5300 Power Toothbrush,http://www.walmart.com/ip/21264316,True,full/d3e11a070fb18ad3e158fc819a141dc48572ff15.jpg
3,0,0,,2014-04-02 15:25:11.391872,Page unavailable [404],,Page unavailable [404],http://www.amazon.co.uk/dp/B00AWH595M,False,
2,35.00,0,,2014-04-02 15:25:11.522159,walmart.com,,Google Chromecast HDMI Streaming Media Player,http://www.walmart.com/ip/33142918,True,full/1c52c47e1f00267d77bd86a88c6bbf0ebc770394.jpg
1,49.95,49.95,USD,2014-04-02 15:25:12.019403,amazon.com,,,http://www.amazon.com/dp/B007ZN5ATQ,True,full/af23a0c88e0159faf72581561040d6a3e9eb87a9.jpg
2,35.00,35.00,USD,2014-04-02 15:25:12.067074,amazon.com,,,http://www.amazon.com/dp/B00DR0PDNE,True,full/c2116df4db98e2b5392a12f5c3faec4292f1cd28.jpg
5,94.99,0,,2014-04-02 15:25:12.232221,walmart.com,,Roku 3 Streaming Player,http://www.walmart.com/ip/23423759,True,full/11a125ba8fabbd884d8a2ffa165f9fa1f3dbe90a.jpg
6,0,0,,2014-04-02 15:25:13.068679,walmart.com,,New Apple TV with 1080p HD,http://www.walmart.com/ip/20606876,True,full/f90ae7d5f8bc02a2a118235ee84678d0e942ebf9.jpg
5,199.00,331.44,GBP,2014-04-02 15:25:13.184304,amazon.co.uk,,Roku 3,http://www.amazon.co.uk/dp/B00BGGDVOO,True,full/e1410fb548e7f96620835ed4a238de2da25389c4.jpg
5,94.99,94.99,USD,2014-04-02 15:25:13.745184,amazon.com,,,http://www.amazon.com/dp/B00BGGDVOO,True,full/91f0cd12ef15a0f7e76b2b71455e2bfa1ab14e6b.jpg
7,0,0,,2014-04-02 15:25:13.766646,Page unavailable [404],,Page unavailable [404],http://www.amazon.co.uk/dp/B00AWKC0JM,False,
7,139.00,0,,2014-04-02 15:25:13.975438,walmart.com,,Sony BDPS5100 Blu-ray Player,http://www.walmart.com/ip/23377579,True,full/208e916db320f46698003ac877f38cea78423edd.jpg
6,104.99,174.86,GBP,2014-04-02 15:25:14.011616,amazon.co.uk,,Apple TV MD199LL/A,http://www.amazon.co.uk/dp/B007I5JT4S,True,full/d7887c7af15de6d6fd92e675cf4be5e538d26ea0.jpg
6,92.95,92.95,USD,2014-04-02 15:25:14.291560,amazon.com,,,http://www.amazon.com/dp/B007I5JT4S,True,full/bb5ba3f933dfbab1b2df8cf0ef5db0ce49529594.jpg
3,29.99,0,,2014-04-02 15:25:14.593100,amazon.com,,Kindle Paperwhite,http://www.amazon.com/dp/B00AWH595M,True,
7,91.60,91.60,USD,2014-04-02 15:25:15.290402,amazon.com,,,http://www.amazon.com/dp/B00AWKC0JM,True,full/f966fb3ac68ac1c37a826c8b8b66688e7056de05.jpg
